Canonical_Claim_ID,Dataset,Original_Claim_Text,MAVA_Claim_Text,Correction_Status,Correction_Method,Validation_Status,Baseline_Status,MAVA_Status,Validation_Change,Claim_Type,Validation_Transition,Correction_Verification
Customer_Churn::C001,Customer_Churn,"The dataset comprises 7,043 total customer records.","The dataset comprises 7,043 total customer records.",UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,NUMERIC,UNVERIFIED_TO_UNVERIFIED,
Customer_Churn::C012,Customer_Churn,Churned customers have a lower average tenure compared to non-churned customers.,Churned customers have a lower average tenure compared to non-churned customers.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Customer_Churn::C015,Customer_Churn,Churned customers average higher monthly charges than non-churned customers.,Churned customers average higher monthly charges than non-churned customers.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C006,Financial,Overall profit margin is 14.2291%.,Overall profit margin is 14.2291%.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,PERCENTAGE,UNVERIFIED_TO_UNVERIFIED,
Financial::C011,Financial,Government segment led all segments in revenue.,Government segment led all segments in revenue.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C012,Financial,Government segment led all segments in profit.,Government segment led all segments in profit.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C016,Financial,Small Business generated the second-highest sales total among segments.,Small Business generated the second-highest sales total among segments.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C020,Financial,Enterprise achieved the highest average sales per record among segments.,Enterprise achieved the highest average sales per record among segments.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C028,Financial,Sales and profitability were distributed across five countries.,Sales and profitability were distributed across five countries.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,NUMERIC,UNVERIFIED_TO_UNVERIFIED,
Financial::C029,Financial,United States of America generated the highest total sales among countries.,United States of America generated the highest total sales among countries.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C035,Financial,France achieved the highest total profit among all countries.,France achieved the highest total profit among all countries.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C041,Financial,Paseo generated the highest product sales among products.,Paseo generated the highest product sales among products.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Financial::C042,Financial,Paseo generated the highest product profit among products.,Paseo generated the highest product profit among products.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
Walmart::C009,Walmart,Holiday weeks yield a higher average weekly sales figure than non-holiday weeks.,Holiday weeks yield a higher average weekly sales figure than non-holiday weeks.,UNCHANGED,No verified correction applied,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_CHANGE,COMPARISON,UNVERIFIED_TO_UNVERIFIED,
